Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.8560,0.0176,0.9043,11.7600,23.5900,-21.7700
-0.8755,0.0776,0.8540,10.1500,-6.9300,-19.9500
-0.8716,0.0220,0.8638,2.8000,-31.3600,-20.7200
-0.8506,-0.0107,0.8511,-6.3700,-62.1600,-20.6500
-0.8159,-0.0976,0.8111,-17.2900,-84.2800,-21.7700
-0.7466,-0.1518,0.7749,-20.6500,-110.4600,-23.6600
-0.7178,-0.2006,0.7989,-27.1600,-128.1000,-25.5500
-0.7042,-0.1664,0.8491,-21.2100,-146.5800,-23.2400
-0.7022,-0.0854,0.9609,2.5200,-162.6100,-14.2800
-0.6925,-0.1200,0.9862,25.3400,-185.2200,-3.5700
-0.6730,-0.1113,0.9599,38.5000,-204.8200,1.3300
-0.6578,-0.1767,0.9130,40.6000,-215.3900,3.7100
-0.6173,-0.2333,0.8740,39.1300,-226.9400,2.0300
-0.5749,-0.1918,0.8711,33.1800,-234.8500,1.4000
-0.5378,-0.1269,0.8750,25.6200,-245.4900,4.1300
-0.4890,-0.1264,0.8950,30.9400,-254.6600,7.6300
-0.4333,-0.0952,0.9301,36.0500,-266.1400,11.7600
-0.3953,-0.0820,0.9218,43.1200,-273.0700,17.7800
-0.3421,-0.1069,0.9023,50.7500,-276.3600,21.7000
-0.2577,-0.0405,0.8730,54.2500,-274.8900,28.7000
-0.2162,-0.0210,0.8262,39.7600,-267.8900,33.3200
-0.1610,-0.0176,0.7779,29.4700,-259.8400,38.5000
-0.1332,-0.0669,0.7954,25.8300,-246.8200,39.6200
-0.0927,-0.0825,0.9740,25.2700,-240.9400,38.8500
-0.0908,-0.0703,1.2302,28.9800,-244.5100,37.3800
-0.1015,-0.0742,1.2664,41.5100,-253.6800,34.7200
-0.0791,-0.1210,1.1649,33.6700,-261.2400,28.6300
0.0078,-0.1771,1.1151,15.3300,-264.1100,24.6400
0.0756,-0.2015,1.0326,1.8200,-261.4500,20.3000
